Pirai,,Rurrenabaque,,portachuelo2estrellas,
7.773078734,2.2463438,8.102074966,4.30953,0.479557059,2.29865
12.41487941,10.7730968,15.50995822,5.098603,0.947944311,4.1730512
16.74359262,10.7730968,20.24911622,5.6219742,1.392502641,5.59706061
44.56199476,19.518366,23.9171156,10.6040742,1.844507509,6.81293861
57.08750009,89.186586,27.03777388,13.4689642,2.308426838,13.64382861
60.71197501,98.425138,29.78214053,20.8089742,2.784260628,24.14527861
63.15800334,98.425138,32.63958251,37.7395742,3.411259143,31.91151061
65.76962703,98.425138,37.18068064,56.7156742,4.05017212,32.25821627
67.78296213,100.1188484,41.17886983,60.6450342,4.674936674,32.78237079
70.44064378,100.1188484,45.5106374,72.8957742,5.260234575,37.16024464
72.3102708,102.4053578,49.79114661,86.8928742,5.820214247,39.90981432
74.13496107,102.4053578,54.69682369,89.9439642,6.386895803,46.58775332
78.25054085,118.8841718,58.72752357,92.9710442,6.966236474,55.88514532
79.88412169,122.5292212,62.72571276,96.0942842,7.546321798,56.68858032
81.18194842,122.5292212,65.9703242,97.7180092,8.122683854,56.70005952
82.98893539,122.5292212,68.73952814,103.3561992,8.667025796,56.7079285
85.44646967,133.657337,71.73967095,109.2001592,9.209878429,58.27142342
111.7423749,139.6134682,74.43482956,110.4086682,9.766134832,62.78103342
115.0337688,207.3006882,76.99796874,114.7944882,10.374517,63.87849642
117.4797186,210.7497376,79.39991724,120.4724482,11.02162117,66.65891142
118.8505872,210.7497376,82.01050876,125.0883882,11.66202345,70.13859202
120.1237407,215.2380698,85.18582626,128.6078782,12.2852987,71.85373822
121.2280311,215.2380698,87.69052476,135.0764282,12.85942679,74.05750422
122.1696965,215.2380698,90.44729163,143.5882882,13.40302408,79.84171422
123.0915496,215.2380698,93.77647017,151.5729482,13.92874968,85.40652422
123.9349702,215.2380698,98.15991353,159.8888482,14.44405012,99.51151422
124.735505,215.2380698,102.4065001,177.3907482,14.9764776,102.2335492
125.5360397,215.2380698,106.6193483,192.3608482,15.53869123,104.1365072
126.334168,215.2380698,114.7745478,199.9402282,16.1470734,110.4277052
127.1347028,215.2380698,123.4740068,203.6922482,16.94310834,116.0007152
134.1555916,215.2380698,128.3237232,215.7863482,17.89254196,123.3361052
141.0574078,257.0333438,132.5534161,220.0016682,18.86208123,126.4953902
143.8007858,260.6683438,136.1758784,220.5552582,19.8122595,129.4452842
145.6958586,262.8123438,139.3101401,222.2103492,20.76913966,135.8833842
157.1612105,279.3113438,141.9326898,223.5833254,21.78782608,145.4224742
165.1748919,318.5433438,144.3122197,237.3233654,22.9807615,147.0946042
166.9121152,318.5433438,146.8871575,239.5185744,24.21390822,148.7082092
168.1754924,318.5433438,152.3371063,242.3913564,25.3897166,150.1441012
169.3549474,321.1043438,155.6238049,242.9386548,26.59680044,151.3980722
170.6033628,321.8243438,158.6239477,243.631497,27.88728551,156.4624022
184.5761765,324.4563438,161.0484621,248.2779454,29.18447246,158.8717802
187.4530966,329.1783438,164.3918825,258.1901254,30.41166195,162.5535502
189.2692514,335.1543438,167.5809753,261.0188334,31.44524145,164.8202522
190.7257002,335.1543438,169.9717022,267.3073834,32.34925119,167.7478622
192.3896251,335.1893438,173.4599966,274.9156434,32.92337928,171.2843922
194.1145733,335.1893438,175.9879485,286.3125534,33.48782688,175.9736782
195.9193008,335.7073438,178.7571525,295.9949334,34.06195497,178.4058712
202.550741,352.6853438,181.5891801,300.5437234,34.64650822,180.5598132
206.502855,361.0553438,185.0044973,306.1120534,35.21616839,182.5176782
208.8955752,369.6573438,188.3194708,312.1272534,35.76795687,200.3882182
211.8053143,371.1373438,191.3461083,316.0178434,36.29666108,208.4123102
216.8596164,391.8413438,195.5087172,325.0710534,36.84472629,210.3153312
230.7716666,418.4033438,200.4331419,327.5838894,37.4300242,213.1635912
233.9375616,428.4963438,203.6499081,333.2340194,38.05255479,221.8184712
235.9778533,428.4963438,206.5201064,341.8602494,38.94688402,229.2944612
237.7397907,428.4963438,209.3017965,353.6735294,40.03929118,237.4016412
239.4012169,428.4963438,212.8492804,363.3744994,41.08031721,244.6537432
240.7681477,428.5243438,216.3082561,369.5079394,42.04166529,248.7294732
242.3604049,429.7173438,219.4835736,370.9028444,43.07450014,282.2805732
249.270008,445.4053438,222.5102112,378.8796444,44.35530471,301.2764732
251.1875662,451.8163438,225.0498513,383.8448744,45.82227273,316.5016732
253.7127415,451.8163438,227.5314436,395.5804144,47.37115267,329.5960032
256.0064511,462.2243438,231.4491664,404.4117044,49.04960238,349.8991532
261.2927863,473.7283438,234.8789832,411.0958444,50.94623566,364.6130532
264.1430746,485.6633438,238.4264671,421.9850644,53.01488397,379.1712532
266.0085415,487.3913438,241.9000776,427.8282744,55.32107684,398.8199532
272.9167978,496.0843438,246.5304574,435.6564644,58.29522419,408.7710332
275.3927361,509.8233438,252.0818548,452.4327644,61.97828198,417.0505832
277.3271909,512.8473438,257.451595,454.3603984,65.96217991,423.9439732
282.3148843,512.8473438,263.3152326,460.9730084,69.96990676,435.8270632
290.8728421,540.5543438,270.1884819,463.4125364,74.01188769,449.6184132
293.3200668,550.9943438,275.6384307,465.8707464,78.05386862,461.6437632
295.1967184,551.6243438,280.9287727,467.8292934,82.15393254,478.1614632
297.2567234,551.6243438,286.6660875,473.0251434,86.28154866,492.6589032
298.9949106,553.0343438,291.1016487,476.6071734,90.47692828,515.0192132
301.621626,557.2093438,294.8930488,482.5111534,94.801133,525.0771432
303.9183437,560.8193438,298.4853822,489.1002834,99.37256279,533.6394632
305.93173,569.0583438,302.0627249,493.6370334,104.1510063,536.8056132
307.4646287,570.2283438,305.7003253,499.1214334,109.176675,541.7557632
318.1333598,570.2283438,309.1739358,503.6466634,114.4071234,551.5492232
332.3072164,602.9053438,313.1397984,517.5526834,119.6874636,561.7692032
335.3930894,626.1083438,316.7171411,527.7869834,124.9670592,574.4942832
340.0810745,629.3613438,320.0605615,530.7554034,130.3263327,602.2456832
344.8032185,638.5903438,325.0985527,537.8694534,135.7436893,616.0915632
346.783116,643.1323438,330.3495085,547.6698134,141.2146609,620.5873132
348.8405709,643.3543438,334.9978993,568.8517134,146.7869054,631.0251732
351.8312822,650.8893438,340.5085602,572.1344534,152.4142543,643.0429332
354.0063022,653.0353438,350.3691469,573.2643714,158.1465994,659.7030332
355.8337749,684.8013438,363.6473958,575.1420514,163.9884086,677.7763532
357.660817,686.1293438,370.4498656,577.3427774,169.9769146,687.4583132
359.5293604,686.6473438,375.9808701,582.7338274,176.0547791,692.8123932
361.8077629,686.6473438,380.7750802,584.6608494,182.2018964,711.3680532
363.2886183,688.7923438,384.8878672,586.4660394,188.440606,728.7620732
